#Saturno-Alfa-2/Titã-3			LT 29 Jan 2023		StratoLoggerCF (SL-8)
#t(s)	h (m)
56.7	529.4376
56.75	530.0472
56.8	529.7424
56.85	529.1328
56.9	527.9136
56.95	525.4752
57	525.78
57.05	524.8656
57.1	523.3416
57.15	521.8176
57.2	520.2936
57.25	519.9888
57.3	519.3792
57.35	519.3792
57.4	520.5984
57.45	519.9888
57.5	519.3792
57.55	518.7696
57.6	517.5504
57.65	516.3312
57.7	516.0264
57.75	515.112
57.8	514.5024
57.85	514.1976
57.9	513.8928
57.95	513.8928
58	514.8072
58.05	515.4168
58.1	515.112
58.15	513.588
58.2	512.9784
58.25	510.8448
58.3	509.3208
58.35	508.1016
58.4	507.7968
58.45	506.8824
58.5	506.5776
58.55	506.8824
58.6	506.5776
58.65	506.5776
58.7	506.2728
58.75	504.7488
58.8	504.444
58.85	503.5296
58.9	502.92
58.95	502.3104
59	502.3104
59.05	502.3104
59.1	501.7008
59.15	502.3104
59.2	502.92
59.25	502.0056
59.3	501.0912
59.35	501.396
59.4	500.1768
59.45	498.348
59.5	496.824
59.55	496.2144
59.6	495.6048
59.65	494.9952
59.7	494.9952
59.75	494.9952
59.8	494.9952
59.85	494.0808
59.9	493.776
59.95	493.1664
60	492.8616
60.05	492.8616
60.1	491.6424
60.15	491.3376
60.2	490.728
60.25	490.728
60.3	490.1184
60.35	488.5944
60.4	487.9848
60.45	487.0704
60.5	487.0704
60.55	487.0704
60.6	486.7656
60.65	485.5464
60.7	484.9368
60.75	484.3272
60.8	484.0224
60.85	483.4128
60.9	482.4984
60.95	482.4984
61	482.1936
61.05	481.584
61.1	480.9744
61.15	480.06
61.2	479.4504
61.25	479.1456
61.3	478.536
61.35	477.6216
61.4	476.7072
61.45	475.1832
61.5	476.4024
61.55	474.5736
61.6	472.44
61.65	473.964
61.7	473.0496
61.75	472.44
61.8	473.6592
61.85	473.0496
61.9	473.6592
61.95	473.3544
62	473.0496
62.05	471.2208
62.1	470.3064
62.15	469.392
62.2	470.0016
62.25	469.392
62.3	468.7824
62.35	466.9536
62.4	466.9536
62.45	468.4776
62.5	466.9536
62.55	466.6488
62.6	465.7344
62.65	464.5152
62.7	463.296
62.75	462.9912
62.8	462.6864
62.85	461.4672
62.9	461.1624
62.95	461.1624
63	461.1624
63.05	460.248
63.1	459.6384
63.15	458.4192
63.2	457.5048
63.25	456.5904
63.3	456.2856
63.35	455.9808
63.4	455.3712
63.45	455.3712
63.5	454.7616
63.55	455.3712
63.6	455.676
63.65	453.5424
63.7	454.152
63.75	452.9328
63.8	452.628
63.85	451.4088
63.9	450.4944
63.95	450.1896
64	449.2752
64.05	449.2752
64.1	448.9704
64.15	448.056
64.2	447.4464
64.25	446.8368
64.3	445.9224
64.35	444.7032
64.4	445.008
64.45	444.0936
64.5	443.7888
64.55	443.1792
64.6	444.3984
64.65	444.0936
64.7	443.7888
64.75	443.7888
64.8	443.484
64.85	441.96
64.9	441.3504
64.95	440.436
65	438.912
65.05	437.6928
65.1	436.7784
65.15	436.4736
65.2	435.5592
65.25	435.2544
65.3	434.9496
65.35	434.6448
65.4	434.34
65.45	433.7304
65.5	433.7304
65.55	433.1208
65.6	432.2064
65.65	431.9016
65.7	430.3776
65.75	430.0728
65.8	429.768
65.85	428.8536
65.9	429.1584
65.95	428.8536
66	429.1584
66.05	430.0728
66.1	429.4632
66.15	428.8536
66.2	427.3296
66.25	425.8056
66.3	424.8912
66.35	423.9768
66.4	422.148
66.45	421.5384
66.5	421.5384
66.55	421.5384
66.6	421.8432
66.65	421.5384
66.7	421.2336
66.75	420.624
66.8	419.7096
66.85	418.4904
66.9	417.8808
66.95	417.2712
67	415.7472
67.05	416.052
67.1	416.052
67.15	416.6616
67.2	417.2712
67.25	417.576
67.3	416.3568
67.35	413.3088
67.4	413.004
67.45	413.004
67.5	411.1752
67.55	409.956
67.6	409.0416
67.65	409.6512
67.7	408.7368
67.75	409.3464
67.8	408.7368
67.85	408.1272
67.9	407.5176
67.95	406.908
68	405.384
68.05	405.0792
68.1	403.86
68.15	405.0792
68.2	405.6888
68.25	405.384
68.3	404.7744
68.35	403.86
68.4	403.5552
68.45	402.9456
68.5	402.0312
68.55	400.2024
68.6	398.9832
